a_study,a_year,country,s025,Q57_trust_people,Q58_trust_family,Q59_trust_neighborhood,Q60_trust_friends,Q61_trust_new_people,Q62_trust_people_another_religion,Q63_trust_foreigners,Q66_confidence_press,Q67_confidence_television,Q69_confidence_police,Q71_confidence_government,Q72_confidence_politicalparties,Q75_confidence_universities,Q78_confidence_banks,Q201_consume_dailynewspaper,Q202_consume_TVnews,Q203_consume_radionews,Q204_consume_mobilephone,Q205_consume_email,Q206_consume_internet,Q207_consume_socialmedia,Q208_talk_with_friends_colleagues,Q255_closeness_city,Q256_closeness_region,Q257_closeness_country,Q258_closeness_Latam,Q259_closeness_World,Q263_native_Inmigrant,Q240_placement_left_right,Q260_gender,Q262_age,country_name,gender_label,citizen_type,age_group,Q57_trust_question_rescaled,social_trust_index,Q204_consume_mobilephone_rescaled,Q205_consume_email_rescaled,Q206_consume_internet_rescaled,Q207_consume_socialmedia_rescaled,Q208_talk_with_friends_colleagues_rescaled,social_media_usage_index,polarization_index,polarization_norm,social_trust_norm,digital_media_norm
2,2018,ECU,2182018,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,27.0,Ecuador,Male,Native,18-29,1.0,2.4285714285714284,3.0,3.0,3.0,3.0,2.0,2.8,0.5,0.0,0.4761904761904761,0.44999999999999996
2,2018,ECU,2182018,1.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,1.0,5.0,1.0,55.0,Ecuador,Male,Native,45-59,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.6,0.5,0.0,0.3333333333333333,0.15000000000000002
2,2018,ECU,2182018,1.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,2.0,23.0,Ecuador,Female,Native,18-29,1.0,2.4285714285714284,1.0,2.0,1.0,1.0,1.0,1.2,0.5,0.0,0.4761904761904761,0.04999999999999999
2,2018,ECU,2182018,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,4.0,3.0,4.0,5.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,1.0,37.0,Ecuador,Male,Native,30-44,1.0,1.7142857142857142,5.0,3.0,3.0,2.0,2.0,3.0,0.5,0.0,0.23809523809523808,0.5
2,2018,ECU,2182018,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,5.0,1.0,42.0,Ecuador,Male,Native,30-44,1.0,2.7142857142857144,1.0,1.0,2.0,1.0,2.0,1.4,0.5,0.0,0.5714285714285714,0.09999999999999998
2,2018,ECU,2182018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,5.0,2.0,53.0,Ecuador,Female,Native,45-59,1.0,1.0,5.0,5.0,5.0,5.0,1.0,4.2,0.5,0.0,0.0,0.8
2,2018,ECU,2182018,1.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0,1.0,5.0,5.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,5.0,1.0,59.0,Ecuador,Male,Native,60-74,1.0,2.857142857142857,5.0,3.0,3.0,3.0,3.0,3.4,0.5,0.0,0.6190476190476191,0.6
2,2018,ECU,2182018,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,,3.0,3.0,1.0,5.0,1.0,63.0,Ecuador,Male,Native,60-74,1.0,1.5714285714285714,5.0,5.0,5.0,5.0,4.0,4.8,0.5,0.0,0.1904761904761904,0.95
2,2018,ECU,2182018,1.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,7.0,2.0,32.0,Ecuador,Female,Native,30-44,1.0,1.7142857142857142,5.0,5.0,5.0,5.0,3.0,4.6,1.5,0.25,0.23809523809523808,0.8999999999999999
2,2018,ECU,2182018,2.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,5.0,1.0,21.0,Ecuador,Male,Native,18-29,4.0,3.142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.7142857142857142,0.0
