a_study,a_year,country,Q57_trust_people,Q58_trust_family,Q59_trust_neighborhood,Q60_trust_friends,Q61_trust_new_people,Q62_trust_people_another_religion,Q63_trust_foreigners,Q206_consume_internet,Q207_consume_socialmedia,Q240_placement_left_right,Q260_gender,Q262_age,Q263_native_Inmigrant
2,2018,ECU,1.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,27.0,1.0
2,2018,ECU,1.0,4.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,55.0,1.0
2,2018,ECU,1.0,4.0,1.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,23.0,1.0
2,2018,ECU,1.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,1.0,37.0,1.0
2,2018,ECU,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,1.0,42.0,1.0
2,2018,ECU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,53.0,1.0
2,2018,ECU,1.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,5.0,1.0,59.0,1.0
2,2018,ECU,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,63.0,1.0
2,2018,ECU,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,32.0,1.0
2,2018,ECU,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,2.0,46.0,1.0
2,2018,ECU,2.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,5.0,5.0,1.0,21.0,1.0
2,2018,ECU,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,,5.0,2.0,73.0,1.0
2,2018,ECU,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,63.0,1.0
2,2018,ECU,1.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,,1.0,34.0,1.0
2,2018,ECU,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,49.0,1.0
2,2018,ECU,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,58.0,1.0
2,2018,ECU,1.0,3.0,2.0,3.0,1.0,1.0,2.0,5.0,5.0,6.0,1.0,30.0,1.0
2,2018,ECU,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,48.0,1.0
2,2018,ECU,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,,2.0,49.0,1.0
2,2018,ECU,1.0,4.0,2.0,3.0,1.0,2.0,2.0,4.0,5.0,6.0,1.0,27.0,1.0
