a_study,a_year,country,Q57_trust_people,Q58_trust_family,Q59_trust_neighborhood,Q60_trust_friends,Q61_trust_new_people,Q62_trust_people_another_religion,Q63_trust_foreigners,Q206_consume_internet,Q207_consume_socialmedia,Q240_placement_left_right,Q260_gender,Q262_age,Q263_native_Inmigrant
2,2018,ECU,1,4,3,3,2,2,2,3,3,5,1,27,1
2,2018,ECU,1,4,3,3,1,1,1,5,5,5,1,55,1
2,2018,ECU,1,4,1,3,2,3,3,5,5,5,2,23,1
2,2018,ECU,1,4,1,1,2,2,1,3,4,5,1,37,1
2,2018,ECU,1,3,3,3,3,3,3,4,5,5,1,42,1
2,2018,ECU,1,1,1,1,1,1,1,1,1,5,2,53,1
2,2018,ECU,1,4,4,4,3,2,2,3,3,5,1,59,1
2,2018,ECU,1,3,2,2,1,1,1,1,1,5,1,63,1
2,2018,ECU,1,4,2,2,1,1,1,1,1,7,2,32,1
2,2018,ECU,1,3,2,2,2,2,2,1,1,-1,2,46,1
2,2018,ECU,2,4,3,4,2,3,2,5,5,5,1,21,1
2,2018,ECU,1,1,1,1,1,3,2,-1,-1,5,2,73,1
2,2018,ECU,1,3,1,1,1,1,2,1,1,5,2,63,1
2,2018,ECU,1,4,3,2,2,2,2,1,5,-5,1,34,1
2,2018,ECU,1,2,1,2,1,1,1,2,1,5,1,49,1
2,2018,ECU,1,4,2,2,1,2,2,1,1,5,1,58,1
2,2018,ECU,1,3,2,3,1,1,2,5,5,6,1,30,1
2,2018,ECU,1,2,1,2,1,1,1,1,1,-5,2,48,1
2,2018,ECU,1,1,2,2,1,1,1,-5,1,-5,2,49,1
2,2018,ECU,1,4,2,3,1,2,2,4,5,6,1,27,1
2,2018,ECU,1,4,3,3,2,3,3,3,4,6,1,41,1
2,2018,ECU,1,4,1,1,1,1,1,5,5,3,2,51,1
2,2018,ECU,1,3,2,1,1,1,1,5,4,5,2,36,1
2,2018,ECU,1,4,3,2,1,3,1,1,1,-1,2,35,1
2,2018,ECU,1,1,2,3,1,1,1,1,5,10,2,31,1
2,2018,ECU,1,4,2,3,1,2,2,4,1,5,1,22,1
2,2018,ECU,2,3,2,2,2,3,3,5,4,5,1,51,1
2,2018,ECU,1,4,1,1,1,1,1,5,5,5,1,45,1
2,2018,ECU,1,4,2,2,1,1,1,2,1,2,1,62,1
2,2018,ECU,1,4,2,1,1,1,1,5,5,2,1,40,1
2,2018,ECU,1,4,3,3,2,2,2,5,5,1,2,68,1
2,2018,ECU,1,4,2,2,2,2,1,4,4,5,1,18,1
2,2018,ECU,1,2,2,1,1,4,1,1,1,10,1,66,1
2,2018,ECU,1,2,2,2,2,2,2,1,1,5,1,43,1
2,2018,ECU,1,2,2,2,1,2,1,5,5,5,2,32,1
2,2018,ECU,1,4,2,1,1,4,1,1,1,1,1,68,1
2,2018,ECU,1,1,1,1,1,1,1,1,1,-2,2,59,1
2,2018,ECU,1,4,3,2,4,2,4,1,1,5,1,28,1
2,2018,ECU,1,4,2,3,1,1,3,5,5,-5,1,59,1
2,2018,ECU,1,3,2,2,1,1,1,5,5,5,2,24,1
2,2018,ECU,1,4,3,3,2,2,2,5,5,5,1,35,1
2,2018,ECU,1,4,2,2,1,2,2,3,4,5,1,54,1
2,2018,ECU,1,4,3,3,2,3,3,5,5,5,1,29,1
2,2018,ECU,1,2,2,2,1,2,1,5,1,10,2,29,1
2,2018,ECU,1,3,3,3,1,1,2,5,5,5,1,22,1
2,2018,ECU,1,4,3,3,1,2,1,3,5,5,2,39,1
2,2018,ECU,1,4,3,3,2,2,2,5,5,5,2,33,1
2,2018,ECU,1,2,1,3,1,1,1,5,5,5,1,41,1
2,2018,ECU,1,4,3,3,2,2,2,5,5,5,2,28,1
2,2018,ECU,1,2,2,2,2,1,1,5,5,5,1,30,1
2,2018,ECU,1,2,1,3,1,1,1,5,5,-2,1,40,1
2,2018,ECU,1,3,2,3,1,1,1,5,5,5,2,18,1
2,2018,ECU,1,3,1,1,1,2,2,4,3,10,2,45,1
2,2018,ECU,1,4,3,2,1,1,1,5,5,6,2,22,1
2,2018,ECU,1,4,4,4,2,3,1,5,5,8,1,30,1
2,2018,ECU,-1,1,1,3,1,3,3,1,1,-1,2,60,1
2,2018,ECU,1,4,1,1,1,1,1,5,5,4,2,32,1
2,2018,ECU,1,4,4,4,3,3,3,5,5,5,1,46,1
2,2018,ECU,1,4,2,2,2,2,2,1,1,5,1,57,1
2,2018,ECU,1,3,2,2,1,2,1,1,1,-5,2,63,1
2,2018,ECU,1,4,3,2,1,1,1,1,3,4,1,63,1
2,2018,ECU,1,4,2,2,1,2,2,3,2,1,1,40,1
2,2018,ECU,1,3,1,1,1,1,1,5,5,5,2,24,1
2,2018,ECU,1,4,3,3,2,2,2,4,5,5,1,25,1
2,2018,ECU,1,4,2,3,1,2,2,5,5,3,2,39,1
2,2018,ECU,1,4,3,4,2,3,3,5,5,5,1,64,1
2,2018,ECU,1,3,2,2,1,1,1,4,4,-5,2,28,1
2,2018,ECU,1,4,1,1,1,1,1,4,4,10,1,56,1
2,2018,ECU,-1,3,2,2,1,1,1,5,5,9,2,24,1
2,2018,ECU,1,4,2,4,1,2,2,3,3,6,1,52,1
2,2018,ECU,1,4,3,4,2,2,3,5,5,3,1,46,2
2,2018,ECU,1,4,1,2,1,1,1,5,5,2,2,30,1
2,2018,ECU,1,3,2,2,2,1,1,1,1,5,2,52,1
2,2018,ECU,1,4,2,2,1,2,1,5,5,10,1,37,1
2,2018,ECU,1,4,2,2,1,1,1,1,1,9,1,42,1
2,2018,ECU,-5,3,3,3,2,1,2,1,1,-5,1,64,1
2,2018,ECU,1,4,2,2,1,1,1,4,1,5,2,30,1
2,2018,ECU,-1,4,2,3,1,1,1,4,4,5,1,36,1
2,2018,ECU,1,4,3,2,1,2,2,2,2,3,1,33,1
2,2018,ECU,1,4,4,3,3,2,2,2,3,5,2,40,1
2,2018,ECU,1,3,2,2,1,2,2,5,5,1,2,28,1
2,2018,ECU,1,4,3,3,3,3,1,-1,-1,-1,2,60,1
2,2018,ECU,1,4,2,2,2,1,1,4,2,5,1,30,1
2,2018,ECU,1,4,3,3,1,3,3,5,5,3,1,28,1
2,2018,ECU,1,4,2,2,2,-1,-1,1,1,-1,2,56,1
