,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
A_STUDY,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_WAVE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_YEAR,2019,2018,2017,2022,2021,2020,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_COUNTRY_ALPHA,CYP,ECU,GRC,IDN,JOR,LBY,MAC,MDV,NZL,NGA,PHL,SRB,THA,TUN,GBR,UZB,NIR,CHN,SGP,VNM,AUS,CAN,ETH,KEN,NLD,ZWE,AND,ARG,BGD,ARM,BOL,BRA,MMR,CHL,TWN,COL,CZE,DEU,HKG,IRN,JPN,KAZ,KOR,KGZ,LBN,MEX,PAK,PER,PRI,ROU,RUS,SVK,TUR,UKR,EGY,USA,URY,IND,MNG,NIC,MAR,VEN,IRQ,TJK,GTM,MYS,,,,,,,,,,,,,,,,,,,,
C_COW_ALPHA,CYP,ECU,GRC,INS,JOR,LIB,MAU,MAD,NEW,NIG,PHI,SRB,THI,TUN,UKG,UZB,NIRL,CHN,SIN,DRV,AUL,CAN,ETH,KEN,NTH,ZIM,AND,ARG,BNG,ARM,BOL,BRA,MYA,CHL,TAW,COL,CZR,GMY,HKG,IRN,JPN,KZK,ROK,KYR,LEB,MEX,PAK,PER,PRI,ROM,RUS,SLO,TUR,UKR,EGY,USA,URU,IND,MNG,NIC,MOR,VEN,IRQ,TAJ,GUA,MAL,,,,,,,,,,,,,,,,,,,,
S025,1962019,2182018,3002017,3602018,4002018,4342022,4462019,4622021,5542020,5662018,6082019,6882017,7642018,7882019,8262022,8602022,9092022,1562018,7022020,7042020,362018,1242020,2312020,4042021,5282022,7162020,202018,322017,502018,512021,682017,762018,1042020,1522018,1582019,1702018,2032022,2762018,3442018,3642020,3922019,3982018,4102018,4172020,4222018,4842018,5862018,6042018,6302018,6422018,6432017,7032022,7922018,8042020,8182018,8402017,8582022,3562023,4962020,5582020,5042021,8622021,3682018,7622020,3202020,4582018,,,,,,,,,,,,,,,,,,,,
Q1P,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2P,4,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3P,4,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4P,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
